id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,disconnects,num_rejects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[1897. 1940.  250.  234.],10081.0,201.60000000059856,[132.482  32.812   5.458  30.848],7185.57627730431,1184.0,58415.0,1973.0,23693.0,53394000000.0,195827.10144572254,35.639203835455035,1.060390834242764,15.802400555500446,35.754706738503266,162.72107036174623,13.515882968013068,2.8648943557186786,0.16952683265549054,[0.657 0.163 0.027 0.153],0.4055978772575537,3.667586272722076e-06,264851190.4754041,[9.41  9.623 1.24  1.161],5.873015872998436
1,[4727. 4798.  124.  145.],10081.0,201.60000000059856,[101.768  80.565   1.878  17.389],6764.77937960042,2734.0,254406.0,9178.0,223294.0,51994500000.0,11259.636832886648,33.55212468802917,0.7381807360381397,15.706378335482592,32.84018862702387,136.8931890451233,6.489628985421846,1.6973514532288463,0.17428826505307013,[0.505 0.4   0.009 0.086],0.8777072867778276,2.165543823459529e-07,257909226.18971044,[23.447 23.8    0.615  0.719],13.561507936467672
2,[3143. 3358.  101.  550.],10081.0,201.60000000059856,[80.115 26.846  1.56  93.079],5265.011613453609,2352.0,226378.0,2155.0,198755.0,44130000000.0,195827.10144572254,26.11353840617762,0.498740204344812,15.720265846642198,25.011209039088463,99.43777959180444,4.8159576446174714,1.26535065965678,0.3614720761829184,[0.397 0.133 0.008 0.462],0.8779784254653721,4.437505131332938e-06,218898809.5231596,[15.59  16.657  0.501  2.728],11.666666666632029
3,[4876. 4965.  287.  126.],10081.0,201.60000000059856,[103.8    77.545   4.972  15.283],6809.163940496678,1408.0,264340.0,6859.0,234620.0,50743500000.0,195827.10144572254,33.77226436115827,0.7438746156135865,15.875012399563536,32.8433252542593,136.96330743178405,6.074378453082884,1.6449756968554707,0.10395794068048805,[0.515 0.385 0.025 0.076],0.8875690398728909,3.859156373638447e-06,251703869.04687172,[24.187 24.628  1.424  0.625],6.984126984106248
4,[1865. 1881.  247.  271.],10081.0,201.60000000059856,[129.693  31.135   4.79   35.982],7068.932833360745,1196.0,59576.0,1987.0,24544.0,53761500000.0,195827.10144572254,35.0606727177902,1.0380914591807597,15.771649637932745,35.18346465956719,160.57510725323192,13.415882598819056,2.847336573752604,0.1811328241245908,[0.643 0.154 0.024 0.178],0.4119779777091446,3.6425155817029386e-06,266674107.14206538,[9.251 9.33  1.225 1.344],5.932539682522068
5,[3682. 3741.  341.  519.],10081.0,201.60000000059856,[94.625 34.267  5.681 67.027],5884.464057748756,4780.0,238252.0,4262.0,208868.0,49330500000.0,195827.10144572254,29.18591438224756,0.6238865191945534,15.178454518400953,28.146960820940606,115.97688588767244,5.868486742549194,1.500644777303839,0.25820851106041065,[0.469 0.17  0.028 0.332],0.8766684015244363,3.969696261860766e-06,244694940.47546396,[18.264 18.557  1.691  2.574],23.710317460247065
6,[4511. 4679.  265.  343.],10081.0,201.60000000059856,[106.655  47.223   3.863  43.859],6500.489108481194,4424.0,254363.0,4032.0,218772.0,60162000000.0,195827.10144572254,32.24129108462128,0.665053070131966,15.531594087888106,30.38973799644431,138.85424570654868,6.445022488473158,1.7381212181331218,0.1937307806765202,[0.529 0.234 0.019 0.218],0.8600779201377559,3.254996533455047e-06,298422619.046733,[22.376 23.209  1.314  1.701],21.94444444437929
7,[3740. 3983.  230.  525.],10081.0,201.60000000059856,[82.846 48.006  3.601 67.147],5701.064228413385,7578.0,284940.0,9849.0,249746.0,60148500000.0,195827.10144572254,28.2762832477605,0.5488939589326549,14.850510862017657,27.737499821395094,128.81973312574672,5.929386361476627,1.5934927090566413,0.2880666600535661,[0.411 0.238 0.018 0.333],0.8764862778128729,3.2557270995240535e-06,298355654.76101893,[18.552 19.757  1.141  2.604],37.58928571417411
8,[3998. 4222.  200.  463.],10081.0,201.60000000059856,[95.113 45.174  2.996 58.317],6086.624182030909,5140.0,274332.0,5835.0,237815.0,60148500000.0,195827.10144572254,30.18859330438977,0.5928380121019907,15.415534173197104,28.743546865235615,137.61088087113725,6.029088154239708,1.663128657871243,0.2630691399662732,[0.472 0.224 0.015 0.289],0.866887566889754,3.2557270995240535e-06,298355654.76101893,[19.831 20.942  0.992  2.297],25.49603174595605
9,[3831. 3939.  343.  522.],10081.0,201.60000000059856,[90.274 39.256  5.443 66.627],5809.301354371589,3676.0,265171.0,4691.0,236385.0,47683500000.0,184567.4646128359,28.813120495841908,0.6062692193235061,15.561353040372978,27.910143407635523,116.04395481191783,4.997106980003264,1.3827993254637436,0.24194028370201368,[0.448 0.195 0.027 0.33 ],0.8914436344849173,3.870677794474732e-06,236525297.61834538,[19.003 19.539  1.701  2.589],18.234126984072848
