drop_ratio,ue_drop_ratio,cluster_size,avg_se,delay_ratio,qos_reward,pc_kw,reward,n_drop
0.0,0.0,6,0.0,0.0,0.0,0.5996101567149428,-0.2998050783574714,0.0
0.0,0.0,6,0.0,0.0,0.0,0.4818818210672531,-0.24094091053362654,0.0
0.0,0.0,6,0.0,0.0,0.0,0.40967267109700833,-0.20483633554850417,0.0
0.0,0.0,6,0.0,0.0,0.0,0.35281939099385357,-0.17640969549692678,0.0
0.0,0.0,6,0.0,0.0,0.0,0.3458726879587415,-0.17293634397937074,0.0
0.0,0.0,6,2.524728772267215,0.0,0.0,0.37404061093211194,-0.18702030546605597,0.0
0.0,0.0,6,0.8890190696982758,0.0,0.0,0.3463735716754465,-0.17318678583772326,0.0
0.0,0.0,6,3.7173356086052873,0.0,0.0,0.36510069976396603,-0.18255034988198302,0.0
0.0,0.0,6,7.082061724583343,0.13833333333333342,0.0043083311791677435,0.46834701543011037,-0.06184026054834546,0.0
0.0,0.0,6,4.849602934585275,0.3900000000000003,0.003049998475000761,0.564381273688695,-0.16019069784431705,0.0
0.0,0.0,6,0.0,0.14777777777777787,0.004261109690741213,0.604937019334736,-0.13202412203771946,0.0
0.0,0.0,6,0.0,0.0,0.0,0.399289178139262,-0.199644589069631,0.0
0.0,0.0,6,4.908082337188634,0.0,0.0,0.3902434919752756,-0.1951217459876378,0.0
0.0,0.0,6,0.0,0.11333333333333341,0.004433328900004434,0.41441879816813487,-0.029876243083890086,0.0
0.0,0.0,6,0.0,0.0,0.0,0.349291197083915,-0.1746455985419575,0.0
0.0,0.0,6,3.4977503457113333,0.0,0.0,0.34855523507324393,-0.17427761753662196,0.0
0.0,0.0,6,3.044743790491964,0.0,0.0,0.3687803953011401,-0.18439019765057005,0.0
0.0,0.0,6,3.4946883778888176,0.2333333333333335,0.003833329500003833,0.4113199801708974,-0.05232681008529538,0.0
0.0,0.0,6,0.0,0.2650000000000002,0.0036749981625009177,0.4524830973985884,-0.07924162219925748,0.0
0.0,0.0,6,5.6253567442438275,0.0,0.0,0.4155331311460842,-0.2077665655730421,0.0
0.0,0.0,6,0.0,0.09000000000000007,0.0045499954500045495,0.45359515663767486,-0.044797760318655455,0.0
0.0,0.0,6,3.8922547866365917,0.0,0.0,0.41338314517186825,-0.20669157258593412,0.0
0.0,0.0,6,3.4291398113482727,0.0866666666666667,0.004566662100004567,0.47214176756593046,-0.05340439978278255,0.0
0.0,0.0,6,8.223575263953766,0.15333333333333346,0.004233329100004233,0.44980700435004506,-0.055570338174853184,0.0
0.0,0.0,6,1.0593602188626423,0.06000000000000003,0.004699995300004701,0.4021082618679987,-0.013054318933811315,0.0
0.0,0.0,6,4.460351791580393,0.07000000000000005,0.00464999535000465,0.4211895132801798,-0.02459494263990389,0.0
0.0,0.0,6,9.351062819814057,0.11500000000000007,0.004424997787501105,0.446482775598655,-0.046241476299283296,0.0
0.0,0.0,6,0.0,0.07333333333333338,0.004633328700004633,0.438216970823191,-0.03377533741141017,0.0
0.0,0.0,6,0.0,0.0,0.0,0.3479018564768926,-0.1739509282384463,0.0
0.0,0.0,6,0.0,0.0,0.0,0.3325459866098025,-0.16627299330490125,0.0
0.0,0.0,6,0.0,0.0,0.0,0.32649504265027046,-0.16324752132513523,0.0
0.0,0.0,6,0.0,0.0,0.0,0.3318147547113697,-0.16590737735568484,0.0
0.0,0.0,6,0.0,0.0,0.0,0.3332772185082354,-0.1666386092541177,0.0
0.0,0.0,6,0.0,0.0,0.0,0.3431488491370789,-0.17157442456853944,0.0
0.0,0.0,6,0.0,0.0,0.0,0.37296482979567896,-0.18648241489783948,0.0
0.0,0.0,6,0.0,0.0,0.0,0.3652320524697514,-0.1826160262348757,0.0
0.0,0.0,6,0.0,0.0,0.0,0.3623619672684025,-0.18118098363420124,0.0
0.0,0.0,6,3.1265784678466204,0.0,0.0,0.39403884846629195,-0.19701942423314597,0.0
0.0,0.0,6,4.783831230893053,0.09000000000000007,0.0045499954500045495,0.4604823590325733,-0.04824136151610467,0.0
